Id,budget,company,country,director,genre,gross,movie status,name,rating,released,runtime,score,star,votes,writer,year
1808,1100000,Empire Pictures,USA,John Carl Buechler,5,5450815,Hit,Troll,PG-13,17-01-1986,82,4.3,Michael Moriarty,7569,Ed Naha,1986
1809,1500000,Alliance Films,USA,James Wan,10,54009150,Hit,Insidious,PG-13,01-04-2011,103,6.8,Patrick Wilson,226632,Leigh Whannell,2010
1810,1500000,Night and Day Pictures,USA,Adrienne Shelly,5,19067631,Flop,Waitress,PG-13,25-05-2007,108,7,Keri Russell,39286,Adrienne Shelly,2007
1811,1700000,Marked Entertainment,USA,Mark Illsley,5,1943649,Hit,"Happy, Texas",PG-13,03-12-1999,98,6.3,Jeremy Northam,8911,Ed Stone,1999
1812,1800000,Cinereach,USA,Benh Zeitlin,3,12795746,Hit,Beasts of the Southern Wild,PG-13,14-02-2013,93,7.3,Quvenzhané Wallis,73864,Lucy Alibar,2012
1813,1800000,ErgoArts,USA,Maggie Greenwald,2,3050934,Flop,Songcatcher,PG-13,27-07-2001,109,7.2,Janet McTeer,2939,Maggie Greenwald,2000
1814,1800000,Strike Entertainment,France,Daniel Stamm,2,41034350,Flop,El último exorcismo,PG-13,27-08-2010,87,5.6,Patrick Fabian,43587,Huck Botko,2010
1815,2000000,BN Films,Mexico,Jerry Jameson,1,2557668,Flop,Captive,PG-13,18-09-2015,97,5.4,Kate Mara,5253,Brian Bird,2015
1816,2000000,HSX Films,USA,Lance Mungia,1,124494,Flop,Six-String Samurai,PG-13,18-09-1998,91,6.7,Jeffrey Falcon,5956,Jeffrey Falcon,1998
1817,2000000,New Line Cinema,USA,Stephen Herek,1,13167232,Flop,Critters,PG-13,11-04-1986,82,6,Dee Wallace,25517,Domonic Muir,1986
1818,2000000,Samuel Goldwyn Films,USA,Jon Kasdan,5,17061,Hit,The First Time,PG-13,07-02-2013,95,6.9,Dylan O'Brien,55742,Jon Kasdan,2012
1819,2000000,Sarlui / Diamant,USA,Stephen Chiodo,5,15625095,Flop,Killer Klowns from Outer Space,PG-13,27-05-1988,88,6.1,Grant Cramer,25440,Charles Chiodo,1988
1820,2000000,ShadowCatcher Entertainment,Canada,Chris Eyre,5,6719300,Flop,Smoke Signals,PG-13,26-06-1998,89,7.2,Adam Beach,8559,Sherman Alexie,1998
1821,2000000,TriStar Pictures,USA,Alex Kendrick,2,34522221,Hit,Courageous,PG-13,30-09-2011,100,7,Alex Kendrick,16417,Alex Kendrick,2011
1822,2500000,Dog Run Pictures,USA,Jake Schreier,5,3325638,Flop,Robot & Frank,PG-13,19-09-2012,89,7.1,Peter Sarsgaard,55671,Christopher Ford,2012
1823,2500000,Larco Productions,USA,Larry Cohen,5,43749,Flop,Wicked Stepmother,PG-13,03-02-1989,90,4.1,Bette Davis,1370,Larry Cohen,1989
1824,2500000,New Century Entertainment Corporation,Canada,Tibor Takács,6,13539458,Hit,Túnel al infierno,PG-13,15-05-1987,85,6,Stephen Dorff,11435,Michael Nankin,1987
1825,2500000,Shoreline Entertainment,USA,Randall Miller,5,247141,Flop,Marilyn Hotchkiss' Ballroom Dancing & Charm School,PG-13,12-01-2006,100,6.6,Robert Carlyle,2382,Randall Miller,2005
1826,2700000,New Century Entertainment Corporation,USA,Mike Marvin,1,3500000,Flop,The Wraith,PG-13,21-11-1986,93,5.9,Charlie Sheen,11635,Mike Marvin,1986
1827,3000000,Double Play,USA,Sidney Lumet,9,2835116,Flop,Running on Empty,PG-13,09-09-1988,116,7.7,River Phoenix,11312,Naomi Foner,1988
1828,3000000,HBO Films,USA,Patricia Cardoso,5,5844929,Hit,Real Women Have Curves,PG-13,08-11-2002,90,7,America Ferrera,6236,Josefina Lopez,2002
1829,3200000,Anonymous Content,USA,Lorene Scafaria,5,4265673,Flop,The Meddler,PG-13,03-06-2016,103,6.3,Susan Sarandon,7979,Lorene Scafaria,2015
1830,3200000,Barcelona Films,USA,Whit Stillman,5,7266973,Hit,Barcelona,PG-13,29-07-1994,101,7,Taylor Nichols,4843,Whit Stillman,1994
1831,3300000,Blumhouse Productions,USA,David Gelb,10,25799043,Hit,The Lazarus Effect,PG-13,27-02-2015,83,5.2,Olivia Wilde,32659,Luke Dawson,2015
1832,3300000,Day Twenty- Eight Films,USA,Ron Krauss,2,1359563,Hit,Gimme Shelter,PG-13,29-10-2014,100,6.5,Vanessa Hudgens,7082,Ron Krauss,2013
1833,3500000,Alliance Films,USA,Scott Ste16t,10,17411930,Hit,Dark Skies,PG-13,22-02-2013,97,6.3,Keri Russell,61914,Scott Ste16t,2013
1834,3500000,Screen Gems,USA,Angela Robinson,1,96793,Hit,D.E.B.S.,PG-13,25-03-2005,91,5.3,Sara Foster,12868,Angela Robinson,2004
1835,3800000,Sycamore Pictures,USA,John Krasinski,5,1016872,Hit,The Hollars,PG-13,26-08-2016,88,6.5,Sharlto Copley,7227,Jim Strouse,2016
1836,3900000,The Weinstein Company,USA,Kyle Newman,3,688529,Flop,Fanboys,PG-13,13-02-2009,100,6.6,Dan Fogler,51872,Ernest Cline,2009
1837,4000000,3 Pictures,UK,Sally Potter,8,5289772,Flop,Orlando,PG-13,09-06-1993,94,7.2,Tilda Swinton,10849,Sally Potter,1992
1838,4000000,Australian Film Finance Corporation (AFFC),Australia,Rod Hardy,2,46474,Flop,Un verano para toda la vida,PG-13,02-11-2007,105,6.6,Daniel Radcliffe,10900,Ronald Kinnoch,2007
1839,4000000,Automatik Entertainment,USA,William Eubank,15,600896,Flop,The Signal,PG-13,10-07-2014,97,6.1,Brenton Thwaites,53291,Carlyle Eubank,2014
1840,4000000,Avi Chai fund,Israel,Natalie Portman,8,569381,Flop,Una historia de amor y oscuridad,PG-13,19-08-2016,95,6,Natalie Portman,2003,Natalie Portman,2015
1841,4000000,BBC Films,UK,Woody Allen,5,10525717,Flop,Scoop,PG-13,28-07-2006,96,6.7,Scarlett Johansson,71751,Woody Allen,2006
1842,4000000,Blumhouse Productions,USA,Greg McLean,10,10732841,Flop,The Darkness,PG-13,13-05-2016,92,4.4,Kevin Bacon,9450,Greg McLean,2016
1843,4000000,Cinecom Entertainment Group,USA,John Sayles,2,1680358,Hit,Matewan,PG-13,30-06-1988,135,7.9,Chris Cooper,6198,John Sayles,1987
1844,4000000,Lightyear Entertainment,USA,Jim Wynorski,15,192816,Flop,The Return of Swamp Thing,PG-13,12-05-1989,84,4.5,Dick Durock,3054,Len Wein,1989
1845,4500000,10th Hole Productions,USA,Galt Niederhoffer,5,103280,Hit,The Romantics,PG-13,26-05-2010,100,5.1,Katie Holmes,10547,Galt Niederhoffer,2010
1846,4500000,New Line Cinema,USA,Mick Garris,5,3813293,Flop,Critters 2,PG-13,29-04-1988,86,5.3,Scott Grimes,11122,David Twohy,1988
1847,4700000,New Sky Communications Inc.,USA,Frank LaLoggia,6,1705139,Flop,Lady in White,PG-13,22-04-1988,113,6.7,Lukas Haas,5135,Frank LaLoggia,1988
1848,4900000,New Line Cinema,USA,David F. Sandberg,10,67235683,Hit,Lights Out,PG-13,22-07-2016,81,6.4,Teresa Palmer,80019,Eric Heisserer,2016
1849,5000000,Alebrije Cine y Video,Mexico,Eugenio Derbez,5,44467206,Hit,Instructions Not Included,PG-13,06-09-2013,115,7.6,Eugenio Derbez,24412,Guillermo Ríos,2013
1850,5000000,Aspen Film Society,USA,Christopher Guest,5,117463,Flop,The Big Picture,PG-13,15-12-1989,100,6.3,Kevin Bacon,4057,Michael Varhol,1989
1851,5000000,Astute Films,USA,Michael Polish,2,4700361,Hit,90 Minutes in Heaven,PG-13,11-09-2015,121,4.7,Kate Bosworth,2631,Michael Polish,2015
1852,5000000,Big Beach Films,USA,Gaby Dellal,2,66371,Flop,3 Generations,PG-13,29-09-2016,92,5.6,Naomi Watts,2608,Nikole Beckwith,2015
1853,5000000,Blinding Edge Pictures,USA,M. Night Shyamalan,10,65206105,Hit,The Visit,PG-13,11-09-2015,94,6.2,Olivia DeJonge,86781,M. Night Shyamalan,2015
1854,5000000,Butcher's Run Films,USA,Robert Duvall,2,20733485,Flop,The Apostle,PG-13,20-02-1998,134,7.2,Robert Duvall,12029,Robert Duvall,1997
1855,5000000,Cinecorp SAC,USA,Jay Levey,5,6157157,Hit,UHF,PG-13,21-07-1989,97,7,'Weird Al' Yankovic,22399,'Weird Al' Yankovic,1989
1856,5000000,Dimension Films,USA,Gonzalo López-Gallego,10,17686929,Hit,Apollo 18,PG-13,02-09-2011,86,5.2,16ren Christie,49108,Brian Miller,2011
1857,5000000,FilmDistrict,USA,James Wan,10,83586447,Flop,Insidious: Chapter 2,PG-13,13-09-2013,106,6.6,Patrick Wilson,123320,Leigh Whannell,2013
1858,5000000,Golan-Globus Productions,USA,Peter R. Hunt,1,6075793,Flop,Assassination,PG-13,09-01-1987,88,5.1,Charles Bronson,2255,Richard Sale,1987
